target,target_neighborhood,target_list,basis,comp_address,comp_sold_price,comp_ppsf,comp_sqft
101 S Fort Lauderdale Beach Boulevard Unit#1806,Las Olas,1945000,same street,101 S FORT LAUDERDALE BEACH BLVD Unit#1907,1725000,906.0,1905
101 S Fort Lauderdale Beach Boulevard Unit#1806,Las Olas,1945000,same street,101 S FORT LAUDERDALE BEACH BLVD Unit#1807,1740000,913.0,1905
101 S Fort Lauderdale Beach Boulevard Unit#1806,Las Olas,1945000,same street,101 S Fort Lauderdale Beach Blvd Unit#2507,1600000,840.0,1905
101 S Fort Lauderdale Beach Boulevard Unit#1806,Las Olas,1945000,same street,101 S FORT LAUDERDALE BEACH BLVD Unit#2107,1536179,806.0,1905
3040 N Ocean Blvd Unit#N101,Thirty North Ocean Con Thirty Ocean,1900000,same street,2200 N Ocean Blvd Unit#N903,3500000,1652.0,2119
3040 N Ocean Blvd Unit#N101,Thirty North Ocean Con Thirty Ocean,1900000,same street,2110 N Ocean Boulevard Unit#22a,1200000,563.0,2130
3040 N Ocean Blvd Unit#N101,Thirty North Ocean Con Thirty Ocean,1900000,same street,2110 N Ocean Blvd Unit#11A,1325000,622.0,2130
3040 N Ocean Blvd Unit#N101,Thirty North Ocean Con Thirty Ocean,1900000,same street,2110 N Ocean Blvd Unit#7-A,1101000,517.0,2130
3040 N Ocean Blvd Unit#N101,Thirty North Ocean Con Thirty Ocean,1900000,same street,2100 N Ocean Boulevard Unit#12a,1125000,528.0,2130
301 Hendricks Isle Unit#7,Place Des Arts,1900000,same street,11 Hendricks Isle Unit#11,2800000,787.0,3559
301 Hendricks Isle Unit#7,Place Des Arts,1900000,same street,516 Hendricks Isle Unit#4A,1675000,516.0,3246
301 Hendricks Isle Unit#7,Place Des Arts,1900000,same street,423 Hendricks Isle,2450000,790.0,3102
301 Hendricks Isle Unit#7,Place Des Arts,1900000,same street,421 Hendricks Isle,2517000,811.0,3102
301 Hendricks Isle Unit#7,Place Des Arts,1900000,same street,301 Hendricks Isle Unit#2,1750000,571.0,3064
2112 Manatee Drive,Harbour Inlet,1899000,same street,2215 Manatee Dr,2372000,669.0,3546
2112 Manatee Drive,Harbour Inlet,1899000,same street,2100 Manatee Drive,1440000,702.0,2050
111 SE 8th Avenue Unit#1501,Venezia,1899000,same street,111 SE 8th Ave Unit#1101,850000,491.0,1730
111 SE 8th Avenue Unit#1501,Venezia,1899000,same street,111 SE 8th Ave Unit#1001,845000,552.0,1530
111 SE 8th Avenue Unit#1501,Venezia,1899000,same street,111 SE 8th Avenue Unit#601,750000,491.0,1529
111 SE 8th Avenue Unit#1501,Venezia,1899000,same street,111 SE 8th Avenue Unit#1005,645000,542.0,1190
111 SE 8th Avenue Unit#1501,Venezia,1899000,same street,111 SE 8th Ave Unit#1003,475000,534.0,890
1020 SE 11th Street,Rio Vista,1899000,same street,1601 SE 11th St,2984000,1210.0,2466
1020 SE 11th Street,Rio Vista,1899000,same street,1505 SE 11TH ST,2425000,888.0,2732
1020 SE 11th Street,Rio Vista,1899000,same street,1113 SE 11th Street,1550000,929.0,1669
1020 SE 11th Street,Rio Vista,1899000,same street,1116 SE 11th Street,1535000,1059.0,1450
1020 SE 11th Street,Rio Vista,1899000,same street,1617 SE 11th St,6500000,1273.0,5105
1507 SE 15th Street Unit#202,Harbors Edge,1899000,same street,1472 SE 15TH ST Unit#D,800000,528.0,1514
1507 SE 15th Street Unit#202,Harbors Edge,1899000,same street,1490 SE 15th St Unit#101,889000,609.0,1459
1507 SE 15th Street Unit#202,Harbors Edge,1899000,same street,1700 SE 15th St Unit#306,247900,198.0,1250
1507 SE 15th Street Unit#202,Harbors Edge,1899000,same street,1700 SE 15th Street Unit#206,199000,159.0,1250
1507 SE 15th Street Unit#202,Harbors Edge,1899000,same street,1700 SE 15th St Unit#111,500000,417.0,1200
1635 Seabreeze Boulevard,Harbor Beach,1895000,same street,1601 Seabreeze Boulevard,1650000,826.0,1997
1635 Seabreeze Boulevard,Harbor Beach,1895000,same street,1530 Seabreeze Boulevard,1635000,776.0,2106
1635 Seabreeze Boulevard,Harbor Beach,1895000,same street,1344 Seabreeze Blvd,1635000,628.0,2605
1635 Seabreeze Boulevard,Harbor Beach,1895000,same street,1217 Seabreeze Blvd,1862000,688.0,2706
1635 Seabreeze Boulevard,Harbor Beach,1895000,same street,1237 Seabreeze Blvd,4400000,1358.0,3240
104 NE 16th Ter,Victoria Park,1875000,same street,122 NE 16th Ter Unit#122,1310000,466.0,2810
104 NE 16th Ter,Victoria Park,1875000,same street,807 NE 16th Ter,1270000,491.0,2585
104 NE 16th Ter,Victoria Park,1875000,same street,809 NE 16th Ter,1287500,498.0,2585
104 NE 16th Ter,Victoria Park,1875000,same street,1332 NE 16th Ter,1078000,452.0,2385
104 NE 16th Ter,Victoria Park,1875000,same street,803 NE 16th Terrace,1175000,498.0,2360
809 NE 16th Avenue Unit#20,Regency Park Townhomes,1869000,same street,2410 NE 16th Ave,2200000,782.0,2813
809 NE 16th Avenue Unit#20,Regency Park Townhomes,1869000,same street,928 NE 16th Avenue Unit#928,1275000,443.0,2880
809 NE 16th Avenue Unit#20,Regency Park Townhomes,1869000,same street,1528 NE 16th Ave,2150000,729.0,2950
809 NE 16th Avenue Unit#20,Regency Park Townhomes,1869000,same street,850 NE 16th Ave Unit#850,735000,274.0,2682
809 NE 16th Avenue Unit#20,Regency Park Townhomes,1869000,same street,449 NE 16th Avenue,1300000,510.0,2550
1808 Coral Ridge Dr,Livermore Estates,1865000,same street,1421 Coral Ridge Dr,1515000,608.0,2492
1808 Coral Ridge Dr,Livermore Estates,1865000,same street,1420 Coral Ridge Drive,1550000,762.0,2034
1808 Coral Ridge Dr,Livermore Estates,1865000,same street,1627 Coral Ridge Drive,5150000,1013.0,5086
1808 Coral Ridge Dr,Livermore Estates,1865000,same street,1627 Coral Ridge Dr,1425000,887.0,1606
2845 NE 9th Street Unit#Ph5,Le Club International Cond,1825000,same street,1633 NE 9th St Unit#1633,1050000,446.0,2352
2845 NE 9th Street Unit#Ph5,Le Club International Cond,1825000,same street,1616 NE 9th St,765000,330.0,2318
2845 NE 9th Street Unit#Ph5,Le Club International Cond,1825000,same street,2845 NE 9th St Unit#1003,1450000,551.0,2630
2845 NE 9th Street Unit#Ph5,Le Club International Cond,1825000,same street,2845 NE 9th St Unit#504,1300000,494.0,2630
2845 NE 9th Street Unit#Ph5,Le Club International Cond,1825000,same street,2845 NE 9th Street Unit#804,1100000,418.0,2630
1133 NE 18th Court,Lauderdale Park,1825000,same street,801 NE 18th Ct Unit#302,383000,381.0,1004
1133 NE 18th Court,Lauderdale Park,1825000,same street,801 NE 18th Court Unit#Apt 111,320000,330.0,969
1133 NE 18th Court,Lauderdale Park,1825000,same street,801 NE 18th Ct Unit#105,230000,319.0,722
1133 NE 18th Court,Lauderdale Park,1825000,same street,801 NE 18th Ct Unit#103,225000,312.0,722
1133 NE 18th Court,Lauderdale Park,1825000,same street,801 NE 18th Ct Unit#209,215000,298.0,722
300 NE 3rd Avenue Unit#2703s,Ombelle Fort Lauderdale,1815447,same street,315 NE 3rd Ave Unit#1003,550000,351.0,1568
300 NE 3rd Avenue Unit#2703s,Ombelle Fort Lauderdale,1815447,same street,1699 NE 3rd Ave Unit#501,499999,324.0,1541
300 NE 3rd Avenue Unit#2703s,Ombelle Fort Lauderdale,1815447,same street,315 NE 3rd Avenue Unit#1006,575000,390.0,1474
300 NE 3rd Avenue Unit#2703s,Ombelle Fort Lauderdale,1815447,same street,533 NE 3rd Avenue Unit#417,435000,302.0,1440
300 NE 3rd Avenue Unit#2703s,Ombelle Fort Lauderdale,1815447,same street,315 NE 3rd Ave Unit#2007,615000,475.0,1294
133 Isle Of Venice Drive Unit#201,Aquavue Las Olas,1800000,same street,133 Isle of Venice Dr Unit#301,1862500,654.0,2849
133 Isle Of Venice Drive Unit#201,Aquavue Las Olas,1800000,same street,160 Isle Of Venice Dr Unit#203,2725000,934.0,2918
133 Isle Of Venice Drive Unit#201,Aquavue Las Olas,1800000,same street,141 Isle of Venice Dr Unit#3-S,3450000,1110.0,3108
133 Isle Of Venice Drive Unit#201,Aquavue Las Olas,1800000,same street,20 ISLE OF VENICE DR Unit#PH2,2177000,841.0,2590
133 Isle Of Venice Drive Unit#201,Aquavue Las Olas,1800000,same street,20 Isle Of Venice Dr Unit#302,1875000,724.0,2590
151 N Seabreeze Boulevard Unit#903,Selene Oceanfront,1799000,same street,151 N Seabreeze Boulevard Unit#1403,1850000,1101.0,1680
151 N Seabreeze Boulevard Unit#903,Selene Oceanfront,1799000,same street,151 N Seabreeze Boulevard Unit#1103-E,1425000,847.0,1682
151 N Seabreeze Boulevard Unit#903,Selene Oceanfront,1799000,same street,153 N Seabreeze Boulevard Unit#1704s,1700000,996.0,1707
151 N Seabreeze Boulevard Unit#903,Selene Oceanfront,1799000,same street,153 N Seabreeze Boulevard Unit#1204,1625000,952.0,1707
151 N Seabreeze Boulevard Unit#903,Selene Oceanfront,1799000,same street,153 N Seabreeze Boulevard Unit#1004-S,1500000,879.0,1707
30 Isle Of Venice Dr Unit#403,Aqualuna Las Olas Aqualuna,1799000,same street,20 ISLE OF VENICE DR Unit#PH2,2177000,841.0,2590
30 Isle Of Venice Dr Unit#403,Aqualuna Las Olas Aqualuna,1799000,same street,20 Isle Of Venice Dr Unit#302,1875000,724.0,2590
30 Isle Of Venice Dr Unit#403,Aqualuna Las Olas Aqualuna,1799000,same street,21 Isle Of Venice Dr Unit#402,2100000,830.0,2531
30 Isle Of Venice Dr Unit#403,Aqualuna Las Olas Aqualuna,1799000,same street,133 Isle of Venice Dr Unit#301,1862500,654.0,2849
30 Isle Of Venice Dr Unit#403,Aqualuna Las Olas Aqualuna,1799000,same street,160 Isle Of Venice Dr Unit#203,2725000,934.0,2918
656 NW 21st Street,Curva Del Rio,1799000,same street,509 NW 21st St,450000,238.0,1890
656 NW 21st Street,Curva Del Rio,1799000,same street,632 NW 21st St,735000,409.0,1797
656 NW 21st Street,Curva Del Rio,1799000,same street,1201 NW 21st St,630000,368.0,1714
656 NW 21st Street,Curva Del Rio,1799000,same street,401 NW 21st St,790000,469.0,1683
656 NW 21st Street,Curva Del Rio,1799000,same street,417 NW 21st St,725000,466.0,1556
2200 S Ocean Ln Unit#2804,Point Americas,1795000,same street,2200 S Ocean Ln Unit#1604,1600000,796.0,2011
2200 S Ocean Ln Unit#2804,Point Americas,1795000,same street,2200 S Ocean Ln Unit#308,1250000,622.0,2011
2200 S Ocean Ln Unit#2804,Point Americas,1795000,same street,2200 S Ocean Ln Unit#508,1110000,552.0,2011
2200 S Ocean Ln Unit#2804,Point Americas,1795000,same street,2200 S Ocean Ln Unit#1208,1600000,798.0,2005
2200 S Ocean Ln Unit#2804,Point Americas,1795000,same street,2200 S Ocean Ln Unit#1102,1520000,759.0,2003
3055 Harbor Drive Unit#1402,Harbourage Place,1795000,same street,3055 Harbor Dr Unit#603,1600000,475.0,3368
3055 Harbor Drive Unit#1402,Harbourage Place,1795000,same street,3025 Harbor Dr Unit#17,575000,383.0,1500
2100 S Ocean Ln Unit#506,Point Americas,1795000,same street,2100 S Ocean Ln Unit#1206,1420000,563.0,2524
2100 S Ocean Ln Unit#506,Point Americas,1795000,same street,2100 S Ocean Lane Unit#2306,1950000,783.0,2491
2100 S Ocean Ln Unit#506,Point Americas,1795000,same street,2200 S Ocean Ln Unit#905,1650000,760.0,2170
2100 S Ocean Ln Unit#506,Point Americas,1795000,same street,2200 S Ocean Ln Unit#205,1370000,631.0,2170
2100 S Ocean Ln Unit#506,Point Americas,1795000,same street,2200 S Ocean Ln Unit#905,1075000,495.0,2170
2317 NE 12th Street,Beach Way Heights,1795000,same street,1747 NE 12th Street Unit#1747,850000,414.0,2054
2317 NE 12th Street,Beach Way Heights,1795000,same street,1742 NE 12th Street,699900,360.0,1942
2317 NE 12th Street,Beach Way Heights,1795000,same street,2608 NE 12th St,1250000,664.0,1883
2317 NE 12th Street,Beach Way Heights,1795000,same street,1515 NE 12th St,570000,463.0,1231
2317 NE 12th Street,Beach Way Heights,1795000,same street,2409 NE 12th Street,2750000,658.0,4182
100 E Las Olas Blvd Unit#3201,Las Olas,1790000,same street,2301 E Las Olas Boulevard,2650000,1316.0,2014
100 E Las Olas Blvd Unit#3201,Las Olas,1790000,same street,100 E Las Olas Blvd Unit#3701,2000000,835.0,2395
100 E Las Olas Blvd Unit#3201,Las Olas,1790000,same street,100 E Las Olas Blvd Unit#3001,1975000,825.0,2395
100 E Las Olas Blvd Unit#3201,Las Olas,1790000,same street,100 E Las Olas Blvd Unit#1701,1625000,678.0,2395
100 E Las Olas Blvd Unit#3201,Las Olas,1790000,same street,100 E Las Olas Blvd Unit#1701,1599000,668.0,2395
843 SW 14th Court Unit#843,Esmonda Gardens,1777000,same street,420 SW 14th Ct,711500,439.0,1620
843 SW 14th Court Unit#843,Esmonda Gardens,1777000,same street,228 SW 14th Ct,470000,316.0,1485
843 SW 14th Court Unit#843,Esmonda Gardens,1777000,same street,801 SW 14th Ct,625000,445.0,1403
843 SW 14th Court Unit#843,Esmonda Gardens,1777000,same street,300 SW 14th Ct.,485000,501.0,968
320 SW 11 Unit#320,Tarpon River,1775000,neighborhood + band,724 SW 8th Way Unit#724,1423000,485.0,2935
320 SW 11 Unit#320,Tarpon River,1775000,neighborhood + band,798 SW 8th Way,1316250,451.0,2918
320 SW 11 Unit#320,Tarpon River,1775000,neighborhood + band,723 SW 8 Avenue,1250000,428.0,2918
320 SW 11 Unit#320,Tarpon River,1775000,neighborhood + band,801 SW 8 Avenue,1275000,437.0,2918
320 SW 11 Unit#320,Tarpon River,1775000,neighborhood + band,619 SW 10th Street Unit#N/A,1200000,416.0,2888
1735 NE 23rd Avenue,Bal Harbour,1750000,same street,1801 NE 23rd Ave,1280000,644.0,1987
1735 NE 23rd Avenue,Bal Harbour,1750000,same street,1725 NE 23rd Ave,2000000,854.0,2341
333 Las Olas Way Unit#2409,Las Olas,1750000,same street,333 Las Olas Way Unit#2209,1600000,747.0,2141
333 Las Olas Way Unit#2409,Las Olas,1750000,same street,333 Las Olas Way Unit#909,1350000,631.0,2141
333 Las Olas Way Unit#2409,Las Olas,1750000,same street,333 Las Olas Way Unit#1009,1075000,502.0,2141
333 Las Olas Way Unit#2409,Las Olas,1750000,same street,333 Las Olas Way Unit#804,1500000,705.0,2129
333 Las Olas Way Unit#2409,Las Olas,1750000,same street,333 LAS OLAS WAY Unit#3305,1325000,622.0,2129
1935 SE 25th Avenue,Harbour Heights,1749999,same street,1925 SE 25th Ave,1500000,666.0,2253
1935 SE 25th Avenue,Harbour Heights,1749999,same street,1959 SE 25th Avenue,1985000,866.0,2291
1935 SE 25th Avenue,Harbour Heights,1749999,same street,724 SE 25th Avenue,7500000,1685.0,4451
2100 NE 24th St,Coral Point,1749000,same street,1703 NE 24th St,608000,361.0,1685
2100 NE 24th St,Coral Point,1749000,same street,2024 NE 24th St,985000,575.0,1714
2100 NE 24th St,Coral Point,1749000,same street,2009 NE 24th St,920000,529.0,1740
2100 NE 24th St,Coral Point,1749000,same street,333 NE 24th Street,830000,519.0,1600
2100 NE 24th St,Coral Point,1749000,same street,20 NE 24th St,900000,502.0,1792
701 N Fort Lauderdale Beach Blvd Unit#TH3,Paramount Ft Lauderdale Paramount,1749000,same street,701 N Fort Lauderdale Beach Blvd Unit#505,2450000,1013.0,2419
701 N Fort Lauderdale Beach Blvd Unit#TH3,Paramount Ft Lauderdale Paramount,1749000,same street,701 N Fort Lauderdale Beach Boulevard Unit#605,2250000,930.0,2419
701 N Fort Lauderdale Beach Blvd Unit#TH3,Paramount Ft Lauderdale Paramount,1749000,same street,701 N Fort Lauderdale Beach Boulevard Unit#1606,3152500,1303.0,2420
701 N Fort Lauderdale Beach Blvd Unit#TH3,Paramount Ft Lauderdale Paramount,1749000,same street,701 N Fort Lauderdale Beach Blvd Unit#1706,2950000,1219.0,2420
701 N Fort Lauderdale Beach Blvd Unit#TH3,Paramount Ft Lauderdale Paramount,1749000,same street,701 N Fort Lauderdale Beach Blvd Unit#1206,2750000,1136.0,2420
516 Hendricks Isle Unit#2C,Aria Las Olas Aria,1745000,same street,19 Hendricks Isle Unit#101,1500000,620.0,2420
516 Hendricks Isle Unit#2C,Aria Las Olas Aria,1745000,same street,25 Hendricks Isle Unit#203,975000,412.0,2364
516 Hendricks Isle Unit#2C,Aria Las Olas Aria,1745000,same street,48 Hendricks Isle Unit#3A-A,1400000,570.0,2458
516 Hendricks Isle Unit#2C,Aria Las Olas Aria,1745000,same street,60 Hendricks Isle Unit#402,1860000,801.0,2321
516 Hendricks Isle Unit#2C,Aria Las Olas Aria,1745000,same street,25 Hendricks Isle Unit#305,975000,420.0,2320
1525 NE 15TH Avenue,Allenwood,1729000,same street,3057 NE 15th Ave,790000,286.0,2761
1525 NE 15TH Avenue,Allenwood,1729000,same street,314 NE 15th Ave,1250000,457.0,2738
1525 NE 15TH Avenue,Allenwood,1729000,same street,317 NE 15th Ave Unit#317,1250000,457.0,2734
1525 NE 15TH Avenue,Allenwood,1729000,same street,625 NE 15th Ave,1375000,552.0,2491
1525 NE 15TH Avenue,Allenwood,1729000,same street,726 NE 15th Avenue Unit#726,885000,360.0,2456
1527 NE 15TH Avenue,Allenwood,1729000,same street,3057 NE 15th Ave,790000,286.0,2761
1527 NE 15TH Avenue,Allenwood,1729000,same street,314 NE 15th Ave,1250000,457.0,2738
1527 NE 15TH Avenue,Allenwood,1729000,same street,317 NE 15th Ave Unit#317,1250000,457.0,2734
1527 NE 15TH Avenue,Allenwood,1729000,same street,625 NE 15th Ave,1375000,552.0,2491
1527 NE 15TH Avenue,Allenwood,1729000,same street,726 NE 15th Avenue Unit#726,885000,360.0,2456
2216 NE 18th Ave,Middle River Manor,1700000,same street,1117 NE 18th Ave Unit#2,1049000,373.0,2810
2216 NE 18th Ave,Middle River Manor,1700000,same street,1524 NE 18th Ave,1150000,428.0,2685
2216 NE 18th Ave,Middle River Manor,1700000,same street,1609 NE 18th Ave,1680000,641.0,2621
2216 NE 18th Ave,Middle River Manor,1700000,same street,1636 NE 18th Ave,2450000,831.0,2950
2216 NE 18th Ave,Middle River Manor,1700000,same street,744 NE 18th Ave,1440000,586.0,2456
511 SE 5th Ave Unit#11,Nu River Landing,1700000,same street,511 SE 5th Avenue Unit#1707,480000,389.0,1233
511 SE 5th Ave Unit#11,Nu River Landing,1700000,same street,511 SE 5th Avenue Unit#707,410000,333.0,1233
511 SE 5th Ave Unit#11,Nu River Landing,1700000,same street,511 SE 5th Ave Unit#2121,610000,490.0,1246
511 SE 5th Ave Unit#11,Nu River Landing,1700000,same street,511 SE 5th Ave Unit#2003,615000,494.0,1246
511 SE 5th Ave Unit#11,Nu River Landing,1700000,same street,511 SE 5th Ave Unit#1902,605000,486.0,1246
77 S Birch Road Unit#7D,Portofino On Intracoas,1699000,same street,77 S Birch Rd Unit#5D,1450000,918.0,1580
77 S Birch Road Unit#7D,Portofino On Intracoas,1699000,same street,77 S Birch Rd Unit#4D,1206500,764.0,1580
77 S Birch Road Unit#7D,Portofino On Intracoas,1699000,same street,100 S Birch Rd Unit#1905D,1015000,615.0,1650
77 S Birch Road Unit#7D,Portofino On Intracoas,1699000,same street,100 S Birch Rd Unit#1605,887500,538.0,1650
77 S Birch Road Unit#7D,Portofino On Intracoas,1699000,same street,100 S Birch Road Unit#803,1005000,584.0,1722
2200 S Ocean Ln Unit#2204,Point Americas Phase Point Americas,1699000,same street,2200 S Ocean Ln Unit#1604,1600000,796.0,2011
2200 S Ocean Ln Unit#2204,Point Americas Phase Point Americas,1699000,same street,2200 S Ocean Ln Unit#308,1250000,622.0,2011
2200 S Ocean Ln Unit#2204,Point Americas Phase Point Americas,1699000,same street,2200 S Ocean Ln Unit#508,1110000,552.0,2011
2200 S Ocean Ln Unit#2204,Point Americas Phase Point Americas,1699000,same street,2200 S Ocean Ln Unit#1208,1600000,798.0,2005
2200 S Ocean Ln Unit#2204,Point Americas Phase Point Americas,1699000,same street,2200 S Ocean Ln Unit#1102,1520000,759.0,2003
729 NE 17th Terrace,Victoria Park,1699000,same street,729 NE 17th Ter,1635000,769.0,2126
729 NE 17th Terrace,Victoria Park,1699000,same street,1717 NE 17th Ter,660000,329.0,2009
729 NE 17th Terrace,Victoria Park,1699000,same street,815 NE 17th Ter,1495000,663.0,2255
729 NE 17th Terrace,Victoria Park,1699000,same street,912 NE 17th Ter,1100000,471.0,2333
729 NE 17th Terrace,Victoria Park,1699000,same street,835 NE 17th Ter Unit#7,805000,420.0,1916
645 NE 17th Way Unit#645,Seven Corners Townhomes,1699000,same street,532 NE 17th Way,1855000,574.0,3232
645 NE 17th Way Unit#645,Seven Corners Townhomes,1699000,same street,705 NE 17TH WAY,1850000,567.0,3260
645 NE 17th Way Unit#645,Seven Corners Townhomes,1699000,same street,1409 NE 17th Way,2050000,650.0,3154
645 NE 17th Way Unit#645,Seven Corners Townhomes,1699000,same street,736 NE 17th Way,1712500,569.0,3011
645 NE 17th Way Unit#645,Seven Corners Townhomes,1699000,same street,517 NE 17th Way,2495000,724.0,3448
45 Hendricks Isle Unit#403,Hendricks,1699000,same street,516 Hendricks Isle Unit#5B,1335000,635.0,2104
45 Hendricks Isle Unit#403,Hendricks,1699000,same street,85 Hendricks Isle,1600000,740.0,2162
45 Hendricks Isle Unit#403,Hendricks,1699000,same street,91 Hendricks Isle,1555000,719.0,2162
45 Hendricks Isle Unit#403,Hendricks,1699000,same street,217 Hendricks Isle Unit#501,1325000,666.0,1990
45 Hendricks Isle Unit#403,Hendricks,1699000,same street,48 Hendricks Isle Unit#2b-A,1100000,488.0,2253
1508 NE 30th Court,Coral Brook,1699000,neighborhood + band,1508 NE 30th Ct,1015000,554.0,1832
705 SW 8th Terrace,Tarpon River,1699000,same street,650 SW 8th Ter,1205000,575.0,2096
705 SW 8th Terrace,Tarpon River,1699000,same street,805 SW 8th Ter,627000,420.0,1494
705 SW 8th Terrace,Tarpon River,1699000,same street,807 SW 8th Ter Unit#807,649000,434.0,1494
705 SW 8th Terrace,Tarpon River,1699000,same street,1130 SW 8th Ter,515000,370.0,1392
705 SW 8th Terrace,Tarpon River,1699000,same street,808 SW 8th Terrace,870000,648.0,1343
615 Bayshore Drive Unit#603,La Cascade,1695000,same street,615 Bayshore Drive Unit#401,1050000,462.0,2274
615 Bayshore Drive Unit#603,La Cascade,1695000,same street,777 Bayshore Dr Unit#1501,1000000,455.0,2200
615 Bayshore Drive Unit#603,La Cascade,1695000,same street,615 Bayshore Drive Unit#303,1200000,507.0,2365
615 Bayshore Drive Unit#603,La Cascade,1695000,same street,435 Bayshore Dr Unit#301,2950000,1238.0,2383
615 Bayshore Drive Unit#603,La Cascade,1695000,same street,435 Bayshore Dr Unit#501,3100000,1292.0,2400
100 S Birch Road Unit#1701a,Jackson Tower Las Olas Con,1695000,same street,100 S Birch Rd Unit#2501,1450000,726.0,1998
100 S Birch Road Unit#1701a,Jackson Tower Las Olas Con,1695000,same street,100 S Birch Rd Unit#1801A,1400000,701.0,1998
100 S Birch Road Unit#1701a,Jackson Tower Las Olas Con,1695000,same street,100 S Birch Rd Unit#1001,1325000,663.0,1998
100 S Birch Road Unit#1701a,Jackson Tower Las Olas Con,1695000,same street,100 S Birch Road Unit#802,1145000,574.0,1995
100 S Birch Road Unit#1701a,Jackson Tower Las Olas Con,1695000,same street,100 S Birch Rd Unit#2502C,1350000,678.0,1990
101 S Fort Lauderdale Beach Boulevard Unit#1706,Las Olas,1695000,same street,101 S Fort Lauderdale Beach Boulevard Unit#1707,1735000,911.0,1905
101 S Fort Lauderdale Beach Boulevard Unit#1706,Las Olas,1695000,same street,101 S FORT LAUDERDALE BEACH BLVD Unit#1907,1725000,906.0,1905
101 S Fort Lauderdale Beach Boulevard Unit#1706,Las Olas,1695000,same street,101 S FORT LAUDERDALE BEACH BLVD Unit#1807,1740000,913.0,1905
101 S Fort Lauderdale Beach Boulevard Unit#1706,Las Olas,1695000,same street,101 S Fort Lauderdale Beach Blvd Unit#2507,1600000,840.0,1905
101 S Fort Lauderdale Beach Boulevard Unit#1706,Las Olas,1695000,same street,101 S FORT LAUDERDALE BEACH BLVD Unit#2107,1536179,806.0,1905
1680 S Ocean Ln Unit#251,Oceanage,1695000,same street,1665 S Ocean Ln Unit#190,1362500,1070.0,1273
1680 S Ocean Ln Unit#251,Oceanage,1695000,same street,1680 S Ocean Ln Unit#151,1280000,1005.0,1273
1680 S Ocean Ln Unit#251,Oceanage,1695000,same street,1656 S Ocean Ln Unit#245,1050000,825.0,1273
1680 S Ocean Ln Unit#251,Oceanage,1695000,same street,1578 S Ocean Lane Unit#115,1180000,927.0,1273
1680 S Ocean Ln Unit#251,Oceanage,1695000,same street,1625 S Ocean Ln Unit#286,1115000,876.0,1273
2611 SE 21 Street,Breakwater,1695000,neighborhood + band,2521 SE 21 Street,1150000,810.0,1420
2611 SE 21 Street,Breakwater,1695000,neighborhood + band,2000 SE 26th Avenue,1150000,889.0,1294
301 Hendricks Isle Unit#6,Place Des Arts,1695000,same street,11 Hendricks Isle Unit#11,2800000,787.0,3559
301 Hendricks Isle Unit#6,Place Des Arts,1695000,same street,516 Hendricks Isle Unit#4A,1675000,516.0,3246
301 Hendricks Isle Unit#6,Place Des Arts,1695000,same street,423 Hendricks Isle,2450000,790.0,3102
301 Hendricks Isle Unit#6,Place Des Arts,1695000,same street,421 Hendricks Isle,2517000,811.0,3102
301 Hendricks Isle Unit#6,Place Des Arts,1695000,same street,301 Hendricks Isle Unit#2,1750000,571.0,3064
347 N New River Drive Unit#Ph 6,Watergarden,1695000,same street,347 N New River Dr Unit#3104,1050000,715.0,1469
347 N New River Drive Unit#Ph 6,Watergarden,1695000,same street,347 N New River Dr Unit#2209,855000,582.0,1469
347 N New River Drive Unit#Ph 6,Watergarden,1695000,same street,347 N New River Dr Unit#501,770000,477.0,1615
347 N New River Drive Unit#Ph 6,Watergarden,1695000,same street,411 N New River Dr Unit#2805,1500000,920.0,1630
347 N New River Drive Unit#Ph 6,Watergarden,1695000,same street,411 N New River Dr Unit#405,1200000,736.0,1630
2100 N Ocean Blvd Unit#12D,Palms Tower One,1690000,same street,2509 N Ocean Blvd Unit#675,1032000,480.0,2150
2100 N Ocean Blvd Unit#12D,Palms Tower One,1690000,same street,2501 N Ocean Blvd Unit#652,1010000,470.0,2150
2100 N Ocean Blvd Unit#12D,Palms Tower One,1690000,same street,2509 N Ocean Blvd Unit#775,950000,442.0,2150
2100 N Ocean Blvd Unit#12D,Palms Tower One,1690000,same street,2110 N Ocean Boulevard Unit#22a,1200000,563.0,2130
2100 N Ocean Blvd Unit#12D,Palms Tower One,1690000,same street,2110 N Ocean Blvd Unit#11A,1325000,622.0,2130
1710 S Ocean Lane Unit#202,Lago Mar North Lodge,1680000,same street,2100 S Ocean Lane Unit#1103,910000,607.0,1500
1710 S Ocean Lane Unit#202,Lago Mar North Lodge,1680000,same street,2100 S Ocean Ln Unit#1703,840000,560.0,1500
1710 S Ocean Lane Unit#202,Lago Mar North Lodge,1680000,same street,2100 S Ocean Ln Unit#1409,732832,484.0,1513
1710 S Ocean Lane Unit#202,Lago Mar North Lodge,1680000,same street,2100 S Ocean Ln Unit#1109,840000,555.0,1513
1710 S Ocean Lane Unit#202,Lago Mar North Lodge,1680000,same street,2100 S Ocean Lane Unit#709,790000,522.0,1513
3000 E Oakland Park Boulevard Unit#601,Waterside,1674500,same street,1810 E OAKLAND PARK BLVD Unit#1,190000,244.0,780
3000 E Oakland Park Boulevard Unit#601,Waterside,1674500,same street,1816 E Oakland Park Blvd Unit#59,250000,425.0,588
